word,count,category
physics sociology,299,other
negotiation,297,other
value,295,philosophy
family,294,social sciences
care,294,social sciences
law history,293,law
consciousness,290,philosophy
poison control,287,health
poison,287,health
ecology biology,286,science
philosophy politics,285,philosophy
science linguistics,285,science
equality,283,social sciences
relation,283,other
history literature,283,history
philosophy computer,282,philosophy
cognition,282,philosophy
value mathematics,281,science
space,281,other
psychology art,280,psychology
philosophy theology,280,philosophy
economics law,278,other
internet,276,computer science
internal,275,other
gender equality,275,gender studies
cognitive,275,psychology
history philosophy,275,history
black feminism,274,social sciences
art visual,273,arts
psychology epistemology,271,psychology
ethnic,271,cultural studies
internal medicine,269,health
normative,268,other
epistemology gender,268,philosophy
science world,268,science
epistemology social,266,philosophy
public administration,266,social sciences
action physics,265,other
aesthetics philosophy,264,philosophy
ethnic group,264,social sciences
epistemology law,263,philosophy
social media,263,media studies
sociology feminist,262,gender studies
equity,260,social sciences
science aesthetics,259,philosophy
government,257,social sciences
sociology computer,256,computer science
citizenship,255,social sciences
sociology literature,252,other
relation database,252,computer science
communism,250,social sciences
solidarity,248,social sciences
capitalism,248,social sciences
law linguistics,247,law
epistemology sociology,247,philosophy
order,247,social sciences
exchange,246,social sciences
studies literature,245,literature
science archaeology,243,history
rhetoric,243,philosophy
government linguistics,243,other
law psychology,242,law
science algorithm,241,science
conversation,239,other
ancient,238,other
pregnancy,237,health
law sociology,236,law
interpretation philosophy,236,philosophy
interpretation,236,philosophy
science biology,235,science
ancient history,235,history
civil,234,other
popular,234,other
punctuation,234,other
neoliberalism international,233,international relations
neoliberalism,233,social sciences
modernity,233,philosophy
prevention,232,social sciences
space punctuation,232,other
archaeology sociology,232,history
politics philosophy,230,other
theory sociology,230,other
legal,229,law
marketing,229,business
order exchange,229,social sciences
studies media,228,media studies
cultural studies,228,cultural studies
perception,227,philosophy
art psychology,227,arts
sociological,227,social sciences
embodied cognition,225,philosophy
embodied,225,philosophy
biochemistry chemistry,225,other
praxis,224,philosophy
music gender,223,arts
law biology,222,law
literature philosophy,222,literature
psychology computer,219,computer science
marxist philosophy,219,social sciences
marxist,219,social sciences
psychoanalysis sociology,219,philosophy
critical theory,219,philosophy
aesthetics political,218,philosophy
acoustics,217,arts
science media,217,media studies
science economics,215,economics
emancipation,212,social sciences
music sociology,212,arts
class philosophy,211,social sciences
materialism,211,social sciences
studies psychoanalysis,210,philosophy
psychology psychoanalysis,209,philosophy
law physics,209,law
alternative,209,other
law epistemology,209,law
science geography,208,other
science physics,208,science
concept,207,other
alternative medicine,207,other
popular culture,206,cultural studies
literary,206,literature
science library,205,science
physics gender,204,gender studies
focus,204,other
character,203,other
astronomy,201,science
law gender,201,law
anthropology law,201,other
feeling,200,philosophy
studies feminist,200,gender studies
literature sociology,199,literature
economy law,199,economics
suicide,198,social sciences
intervention,198,social sciences
face,197,other
face sociological,197,social sciences
sociological concept,197,social sciences
science mathematics,196,science
philosophy psychology,196,philosophy
relations political,196,international relations
reproduction,196,health
character mathematics,196,science
suicide prevention,195,social sciences
cybernetics,195,computer science
science medicine,195,science
aesthetics sociology,195,philosophy
citation,194,other
theology philosophy,194,philosophy
politics social,194,social sciences
science programming,194,other
law aesthetics,193,law
transformative,192,philosophy
variety cybernetics,192,computer science
variety,192,philosophy
transformative learning,191,education
inclusion,191,social sciences
mythology,190,philosophy
knowledge,189,philosophy
psychological,189,philosophy
reproductive,189,health
queer theory,189,gender studies
framing construction,188,philosophy
framing,188,philosophy
multiculturalism,188,cultural studies
construction,188,philosophy
health care,188,health
philosophy archaeology,188,philosophy
history history,187,history
theory gender,187,other
movie theater,186,arts
movie,186,arts
theater,186,arts
mathematics education,186,education
autonomy,186,philosophy
liberalism,185,social sciences
suffrage,185,other
socialism,185,social sciences
epistemology psychology,185,philosophy
science literature,185,literature
girl,184,gender studies
transgender,184,gender studies
aesthetics law,183,philosophy
globalization,182,other
humanities art,182,other
theme,182,other
theme computing,182,other
natural,181,other
opposition,181,other
science public,181,other
curriculum,180,other
aesthetics gender,180,other
life,179,other
engineering mechanical,179,other
law anthropology,179,other
americans,178,other
economics political,178,other
domestic,177,other
art computer,177,other
arts art,176,other
higher education,174,other
mineral,174,other
inclusion mineral,174,other
period,174,other
higher,174,other
algorithm computer,174,other
policy,173,other
reflexivity,173,other
change,172,other
literature history,172,other
gene biochemistry,172,other
philosophy social,171,other
governance,171,other
science operating,170,other
discourse,170,other
essentialism,168,other
domestic violence,168,other
latin,168,other
biochemistry gene,167,other
literature gender,167,other
geology,166,other
situated,166,other
welfare,166,other
corporate,166,other
demographic,165,other
science economic,165,other
capital,165,other
psychoanalysis gender,165,other
psychology medicine,164,other
journalism,164,other
literature law,164,other
philosophy biology,163,other
latin americans,163,other
sphere,163,other
demographic economics,163,other
sociology public,162,other
psychoanalytic,162,other
psychoanalytic theory,162,other
law engineering,161,other
engineering law,159,other
