word,count
variety,192
transformative,192
variety cybernetics,192
transformative learning,191
inclusion,191
mythology,190
psychological,189
queer theory,189
reproductive,189
knowledge,189
health care,188
framing construction,188
multiculturalism,188
philosophy archaeology,188
framing,188
construction,188
history history,187
theory gender,187
mathematics education,186
theater,186
movie,186
movie theater,186
autonomy,186
epistemology psychology,185
suffrage,185
liberalism,185
science literature,185
socialism,185
transgender,184
girl,184
aesthetics law,183
