word,count
birth,51
harassment,51
taking,51
entrepreneurship,51
brazil,51
student,51
revisiting,51
borders,51
participatory,51
social movements,51
book reviews,51
anthropology,50
una,50
drama,50
black feminist,50
transition,50
migration,50
japanese,50
concepts,50
neo,50
discrimination,50
performing,50
truth,50
activist,50
desire,50
sisters,50
organizations,50
women liberation,50
ai,50
intellectual,49
party,49
make,49
italy,49
transnational feminisms,49
theory practice,49
discursive,49
reflection,49
inclusive,48
policies,48
childhood,48
internet,48
great,48
deconstruction,48
different,48
real,48
physical,48
transgender,48
african american,48
1920,48
women writers,48
legacy,48
latin american,48
faith,48
myth,48
material,48
sisterhood,48
contexts,48
modernism,48
da,48
virginia,48
scp scp,48
speaking,47
sweden,47
feminism postmodernism,47
wollstonecraft,47
market,47
vulnerability,47
en la,47
des,47
meaning,47
series,47
stereotypes,47
meets,47
western feminism,47
race feminism,47
women writing,47
fourth,47
union,47
medical,47
21st,46
institutional,46
reclaiming,46
academia,46
korean,46
epistemology,46
examining,46
gender politics,46
evidence,46
feminism post,46
french feminism,46
pakistan,46
control,46
trafficking,46
feminism psychoanalysis,46
responses,46
news,46
2000,46
lessons,46
group,46
iran,46
word,46
feminism critical,46
don,45
essay,45
developing,45
feminism family,45
environment,45
social reproduction,45
shifting,45
recent,45
embodiment,45
global feminism,45
framing,45
1914,45
adult,45
generation,45
teachers,45
victims,45
2020,45
judith,45
curriculum,45
consumer,45
pandemic,45
trends,45
south african,44
misogyny,44
new zealand,44
food,44
red,44
racial,44
guide,44
service,44
1990s,44
traditional,44
politics feminism,44
bad,44
zealand,44
philosophical,44
chicana,44
subjects,44
directions,44
2018,44
modern feminism,43
matter,43
partner,43
movie,43
simone,43
resources,43
feminism film,43
crime,43
capital,43
advertising,43
protest,43
imperial,43
women color,43
journey,43
selected,43
susan,43
mental health,43
medicine,43
21st century,43
le,42
handbook,42
gender sexuality,42
navigating,42
texts,42
films,42
value,42
boys,42
emancipation,42
sex gender,42
political theory,42
hip,42
systematic,42
prostitution,42
history feminism,42
sphere,42
identity politics,42
gender based,42
house,42
video,42
hop,42
families,42
ideas,42
popular feminism,42
women empowerment,42
trauma,42
charlotte,42
paradigm,42
advocacy,42
realism,41
recognition,41
character,41
feminism art,41
feminist perspective,41
conversations,41
ethnography,41
violence women,41
emergence,41
current,41
resisting,41
2019,41
spanish,41
hip hop,41
tale,41
women history,41
mujeres,41
1945,41
les,41
russian,41
sustainable,41
conference,40
wife,40
text,40
behavior,40
land,40
para,40
literacy,40
qualitative research,40
feminist perspectives,40
multicultural,40
struggles,40
sustainability,40
information,40
catholic,40
pro,40
high,40
epistemic,40
psychoanalysis feminism,40
engaging,40
psychological,40
creating,40
bias,40
journal,40
questions,40
geographies,40
employment,40
discussion,40
race gender,40
emerging,40
john,40
virginia woolf,39
ethnicity,39
sports,39
long,39
multiple,39
feminist movement,39
simone beauvoir,39
mass,39
critical discourse,39
russia,39
materialist,39
review feminism,39
industry,39
intersection,39
pragmatism,39
inquiry,39
twitter,39
green,39
populism,39
caribbean,39
daughters,39
dalit,38
pedagogies,38
1900,38
feminism science,38
foreign,38
1980s,38
gap,38
new feminism,38
feminism contemporary,38
northern,38
looking,38
look,38
argentina,38
working class,38
want,38
arts,38
perception,38
little,38
play,38
minority,38
survey,38
transformative,38
2016,38
shakespeare,38
affect,38
related,38
factors,38
death,38
corporate,38
sobre,38
marxist feminism,38
mary wollstonecraft,37
decolonizing,37
southern,37
materialism,37
needs,37
moving,37
mothering,37
political economy,37
dalam novel,37
queer theory,37
feminist analysis,37
silence,37
sarah,37
transforming,37
cultural studies,37
terhadap,37
10,37
responsibility,37
99,37
latina,37
counter,37
focus,37
1990,37
equal,37
roots,36
lt em,36
writings,36
sexual harassment,36
irish,36
contribution,36
2015,36
room,36
criminology,36
imagination,36
methodological,36
animal,36
private,36
korea,36
genre,36
feminism philosophy,36
paperback,36
victim,36
systems,36
contested,36
1997,36
overview,36
socio,36
indonesian,36
alice,36
und,36
hope,36
new woman,36
wikipedia,36
2010,36
feminist thought,36
thoughts,36
planning,36
god,36
spirituality,36
risk,36
constructions,36
contributions,36
common,35
ideological,35
visibility,35
ii,35
republic,35
campaign,35
conservative,35
feminism law,35
psychoanalytic,35
wing,35
celebrity,35
em gt,35
double,35
african women,35
church,35
feminist activism,35
far,35
ireland,35
groups,35
organizing,35
young people,35
breaking,35
intersectional feminism,35
things,35
11,34
countries,34
study feminism,34
imperialism,34
1975,34
speech,34
womanhood,34
identification,34
ethnic,34
ideologies,34
sex work,34
professional,34
eastern,34
effect,34
nigeria,34
backlash,34
egypt,34
romance,34
wars,34
fight,34
artists,34
feminist research,34
climate change,34
2021,34
pleasure,34
sense,34
qualitative study,34
marketing,34
margins,34
big,33
imagining,33
edit,33
organization,33
postcolonial feminism,33
examination,33
complex,33
posthuman,33
paradox,33
pages,33
conceptual,33
gender justice,33
networks,33
leaders,33
formation,33
potential,33
publishing,33
migrant,33
asia,33
