word,count,subfield
energy,3,energy
ecological modeling,3,ecology
atmospheric science,3,atmospheric
dermatology,2,dermatology
organic chemistry,2,organic
organic,2,organic
small,2,science
small animal,2,other
sustainability environment,2,sustainability
renewable,2,renewable
environment,2,science
renewable energy,2,renewable
sustainability,2,sustainability
structural engineering,2,structural
structural,2,structural
animal,2,other
civil,2,science
energy sustainability,2,energy
health information,2,computer science
civil structural,2,structural
neurology,2,neuroscience
surface coating,1,other
surface,1,other
anesthesiology pain,1,pain
family,1,family
optical,1,optical
anesthesiology,1,health
optical magnetic,1,optical
pain,1,pain
topology,1,science
ocean engineering,1,science
ocean,1,science
microbiology,1,microbiology
transplantation,1,science
uncertainty,1,science
modeling simulation,1,science
molecular neuroscience,1,molecular
urology,1,health
decision science,1,other
applied,1,science
pain medicine,1,pain
paleontology,1,science
control,1,science
material,1,other
forestry,1,science
electronic optical,1,electronic
magnetic material,1,other
film,1,other
cell,1,cell
cell biology,1,cell
cellular,1,cell
cellular molecular,1,cell
probability uncertainty,1,science
magnetic,1,materials
practice,1,practice
family practice,1,family
coating,1,other
biochemistry,1,biochemistry
periodontics,1,health
control engineering,1,other
coating film,1,other
gerontology,1,geriatrics
geriatric gerontology,1,other
geriatric,1,other
geometry topology,1,science
geometry,1,science
decision,1,science
applied mathematic,1,other
gastroenterology,1,health
general energy,1,general
simulation,1,science
general decision,1,general
sensory,1,sensory
leadership,1,leadership
leadership management,1,leadership
electronic,1,electronic
